상품명,상품URL,브랜드,거래량,최근거래가,모델번호,발매일,발매일로부터현재까지일,발매가,색상,색상개수,최고거래가,최고거래성사일,최저거래가,최저거래성사일,관심,스타일
(W) 샤넬 믹스드 파이버 스니커즈 스웨이드 카프스킨 & 블랙 다크 그레이,https://kream.co.kr/products/54987,Chanel,13,1750000,G39070-Y55826-K4284,-,,1571000,Black/Dark Grey,2,1870000,2022/06/05,1400000,2022/09/13,295,1
(GS) 나이키 덩크 하이 SE 애슬레틱 클럽 그레이 레드,https://kream.co.kr/products/54962,Nike,175,78000,DH9750-001,2022/03/18,796,139000,White/Grey/Red,3,145000,2022/03/21,30000,2023/12/07,459,10
(W) 나이키 에어맥스 프리데이 블랙 화이트,https://kream.co.kr/products/54961,Nike,49,121000,DC4025-001,2021/11/26,908,169000,Black/White/Metallic Silver,3,174000,2022/04/17,50000,2023/08/06,118,1
(W) 조던 4 레트로 세일,https://kream.co.kr/products/54959,Jordan,633,420000,DQ4909-100,2022/05/24,729,239000,Sail/Sail/Cement Grey/Fire Red,4,450000,2023/09/04,155000,2022/06/22,724,12
(GS) 나이키 에어포스 1 화이트 아우라,https://kream.co.kr/products/54958,Nike,283,139000,CT3839-106,2022/03/18,796,109000,White/Aura,2,189000,2022/10/12,90000,2024/04/09,1397,11
나이키 x 우노 오프라인 2.0 프리미엄 QS 멀티컬러,https://kream.co.kr/products/54956,Nike,222,103000,DN5079-300,2022/03/24,790,169000,Multi-Color,1,270000,2022/03/26,60000,2024/01/19,304,19
반스 볼트 x 블렌즈 스케이트 하이 리이슈 지퍼 VLT LX 칠리 페퍼,https://kream.co.kr/products/54938,Vans,20,150000,VN0000SPE01,2022/03/17,797,199000,Chili Peper/Black,2,330000,2022/03/18,150000,2024/01/06,171,3
반스 볼트 x 블렌즈 올드스쿨 VLT LX 블랙,https://kream.co.kr/products/54936,Vans,31,250000,VN0A4BVFA17,2022/03/17,797,179000,Black,1,300000,2023/01/16,190000,2022/04/28,392,3
반스 볼트 x 뮤지엄 오브 피스 & 콰이엇 OG 뮬 LX 투펫 마쉬멜로우,https://kream.co.kr/products/54905,Vans,12,99000,VN0A5FC2BC4,2022/03/11,803,233400,Tuffet/Marshmallow,2,130000,2023/03/05,90000,2022/07/19,101,1
에르메스 바운싱 스니커즈 메쉬 스웨이드 고트스킨 & 멀티꼴로르 마린,https://kream.co.kr/products/54863,Hermes,32,1290000,H221897ZHI2,-,,946300,Multicolore/Marine,2,1950000,2022/12/13,1290000,2024/04/28,98,5
반스 볼트 x 뮤지엄 오브 피스 & 콰이엇 OG 스타일 36 LX 그린 마쉬멜로우,https://kream.co.kr/products/54848,Vans,58,160000,VN0A4BVEBC31,2022/03/11,803,259400,Green/Marshmallow,2,280000,2022/09/13,110000,2022/10/26,667,6
나이키 에어맥스 테라스케이프 90 라탄,https://kream.co.kr/products/54836,Nike,103,150000,DH4677-200,2022/05/01,752,179000,Rattan/Dark Smoke Grey-Khaki,2,219000,2023/06/27,115000,2022/10/24,271,1
나이키 에어맥스 95 SE 코코넛 밀크 팬텀,https://kream.co.kr/products/54779,Nike,44,139000,DH4755-200,2022/02/14,828,209000,Sesame/Washed Teal/Coconut Milk/Phantom,4,179000,2022/07/08,80000,2022/11/22,143,5
아식스 x GmbH 젤 퀀텀 360 6 퓨어 실버 사워 유즈,https://kream.co.kr/products/54705,Asics,156,280000,1201A099-020,2022/03/18,796,270000,Pure Silver/Sour Yuzu,2,369000,2023/04/13,165000,2024/03/05,350,35
(W) 나이키 와플 원 서밋 화이트 블랙 볼트,https://kream.co.kr/products/54661,Nike,117,119000,DN4696-101,2021/11/23,911,119000,Summit White/Black-Rattan-Volt,2,160000,2024/02/04,30000,2022/10/12,143,0
나이키 SB 덩크 하이 프로 미네랄 슬레이트 스웨이드,https://kream.co.kr/products/54641,Nike,223,115000,DQ3757-300,2022/04/11,772,149000,Mineral Slate/Sail-Black-White,2,300000,2022/03/18,69000,2024/02/15,818,15
나이키 클래식 코르테즈 레더 SE 세일 블랙,https://kream.co.kr/products/54616,Nike,28,239000,861535-104,2017/07/22,2496,,Sail/Black,2,369000,2022/05/16,190000,2022/09/10,363,1
살로몬 XT-윙스 2 카뎃 실버 바이킹 레드,https://kream.co.kr/products/54548,Salomon,20,150000,L41468700,-,,195000,Cadet Silver/Biking Red,2,280000,2023/06/16,132000,2023/09/23,364,2
반스 볼트 x 뮤지엄 오브 피스 & 콰이엇 OG 스타일 36 LX 마쉬멜로우 그린,https://kream.co.kr/products/54512,Vans,39,160000,VN0A4BVEBC21,2022/03/11,803,259400,Marshmallow/Green,2,250000,2022/07/26,99000,2023/11/21,360,0
(W) 나이키 에어맥스 1 에어맥스 데이 라 빌레 루미에르,https://kream.co.kr/products/54311,Nike,17,111000,DQ9326-100,2022/03/26,788,268000,White/Light Bone/Grey,3,260000,2022/10/25,110000,2022/10/12,123,4
컨버스 척 70 로우 다크 모스,https://kream.co.kr/products/54306,Converse,39,70000,171568C,-,,95000,Dark Moss/Egret/Black,3,109000,2023/07/18,46000,2022/06/20,379,2
나이키 르브론 9 로우 화이트 라임 앤 브라이트 망고,https://kream.co.kr/products/54275,Nike,17,120000,DO9355-300,2022/03/23,791,239000,White Lime/Bright Mango/New Green,3,290000,2022/03/24,108000,2023/12/24,85,2
(GS) 나이키 코트 버로우 로우 2 블랙 화이트,https://kream.co.kr/products/54141,Nike,15,59000,BQ5448-002,-,,60500,Black/White,2,79000,2022/04/22,39000,2022/08/27,102,0
아식스 젤 카야노 14 RE 퍼티 하바네로,https://kream.co.kr/products/54080,Asics,24,500000,1201A445-200,-,,159000,Putty/Habanero,2,500000,2024/03/08,135000,2022/08/19,145,2
(W) 나이키 에어 모어 업템포 블랙 실버,https://kream.co.kr/products/54068,Nike,32,199000,DQ0839-001,2022/03/13,801,189000,Black/Silver,2,250000,2022/03/22,134000,2023/06/29,161,2
조던 13 레트로 델 솔,https://kream.co.kr/products/54067,Jordan,127,210000,414571-167,2022/03/20,794,239000,White/University Red/Del Sol/Black,4,300000,2022/12/10,101000,2023/05/01,251,5
조던 5 레트로 제이드 호라이즌,https://kream.co.kr/products/54048,Jordan,18,161000,DC7501-300,2022/03/18,796,285700,Jade Horizon/Light Silver-Anthracite-Pink Glaze,2,320000,2022/04/16,101000,2023/12/11,194,1
조던 1 미드 SE 크레이터 그레이 포그,https://kream.co.kr/products/54020,Jordan,67,148000,DM3529-004,2022/03/15,799,159000,Grey Fog/University Blue/Black,3,190000,2023/10/24,100000,2023/11/10,315,3
(TD) 나이키 덩크 로우 울프 그레이,https://kream.co.kr/products/54016,Nike,137,95000,DH9761-001,2022/02/05,837,68000,Pure Platinum/White/Wolf Grey,3,187000,2024/01/18,60000,2024/01/24,386,4
