상품명,상품URL,브랜드,거래량,최근거래가,모델번호,발매일,발매일로부터현재까지일,발매가,색상,색상개수,최고거래가,최고거래성사일,최저거래가,최저거래성사일,관심,스타일
(W) 나이키 샥스 TL 메탈릭 실버,https://kream.co.kr/products/226044,Nike,215,225000,HF1065-094,2024/01/17,125,209000,Platinum Tint/Metallic Silver/White,3,300000,2024/04/21,173000,2024/05/08,2531,15
(W) 나이키 킬샷 2 세일 미드나잇 네이비,https://kream.co.kr/products/220698,Nike,680,99000,FZ5630-102,-,,119000,Sail/Gum Yellow/Midnight Navy,3,150000,2024/03/03,65000,2024/04/29,1906,16
푸마 x 팔레르모 F.C. 스니커즈 브라이트 핑크 블랙,https://kream.co.kr/products/208455,Puma,442,124000,397245-01,2023/12/02,171,216700,Bright Pink/Black/Gum,3,378000,2024/02/06,80000,2024/04/24,9844,31
아디다스 x 스포티 앤 리치 삼바 OG 클라우드 화이트 컬리지에이트 버건디,https://kream.co.kr/products/196875,Adidas,1274,216000,IF5660,2023/11/10,193,149000,Cloud White/Collegiate Burgundy/Cream White,3,300000,2024/03/03,119000,2024/05/18,7029,70
아디다스 가젤 어스 스트라타 브라운 검,https://kream.co.kr/products/176534,Adidas,3245,179000,IG4989,2023/08/30,265,129000,Earth Strata/Brown/Gum,3,359000,2024/03/16,114000,2023/10/01,2,81
아식스 젤 1130 화이트 클레이 캐년,https://kream.co.kr/products/152299,Asics,2920,179000,1201A256-113,-,,162900,White/Clay Canyon,2,350000,2023/11/15,70000,2023/07/29,9497,85
(W) 조던 1 엘리베이트 로우 SE 럭키 그린,https://kream.co.kr/products/88078,Jordan,10000,139000,DQ8394-301,2022/12/08,530,169000,Lucky Green/Black/White/White Onyx,4,450000,2023/01/22,50000,2023/05/25,2,383
조던 1 로우 애슌 슬레이트 앤 미스틱 네이비,https://kream.co.kr/products/60411,Jordan,315,132000,553558-414,2022/05/03,749,135400,Ashen Slate/Mystic Navy/White,3,550000,2023/05/25,119000,2024/05/15,3346,12
(W) 나이키 에어포스 1 '07 화이트 블랙,https://kream.co.kr/products/59517,Nike,3763,115000,DD8959-103,2022/09/20,609,129000,White/Black,2,194000,2023/03/14,63000,2023/12/05,9720,68
아디다스 이지 부스트 350 V2 지브라 2022/2023,https://kream.co.kr/products/57455,Adidas,2953,485000,CP9654,2022/04/09,773,319000,White/Core Black/Red,3,990000,2023/02/16,280000,2022/07/03,6019,259
뉴발란스 530 마스,https://kream.co.kr/products/51852,New Balance,2328,145000,MR530KOB,2022/02/25,816,109000,Ivory Beige,1,225000,2024/03/23,79000,2023/12/10,4129,35
나이키 에어포스 1 미드 '07 WB 플랙스,https://kream.co.kr/products/42229,Nike,6672,154000,DJ9158-200,2021/10/02,962,179000,Flax/Wheat-Gum Light Brown,2,329000,2022/08/30,91000,2023/05/26,1,543
나이키 x 사카이 x 프라그먼트 LD와플 라이트 스모크 그레이,https://kream.co.kr/products/39449,Nike,34000,597000,DH2684-001,2021/08/24,1001,209000,Lt Smoke Grey/White-Black,2,1350000,2021/08/18,66000,2021/10/21,2,1
(GS/PS) 나이키 에어 리프트 블랙 화이트,https://kream.co.kr/products/32952,Nike,581,57000,322359-014,-,,89000,Black/White,2,129000,2023/02/04,41000,2024/02/25,981,14
나이키 에어포스 1 로우 화이트 블랙 미드솔,https://kream.co.kr/products/24532,Nike,2061,125000,CK7663-101,2020/06/27,1424,129000,White/Black-White,2,420000,2023/04/13,90000,2020/07/21,6542,205
(W) 조던 1 로우 UNC 유니버시티 블루,https://kream.co.kr/products/23940,Jordan,1084,102000,AO9944-441,2020/04/25,1487,119000,University Blue/University Blue-White,2,789000,2022/08/16,95000,2024/05/16,5929,135
(W) 나이키 에어 리프트 브리드 블랙,https://kream.co.kr/products/19368,Nike,1239,100000,848386-001,2019/02/26,1911,119000,Black/Cool Grey-White,2,179000,2023/05/06,39000,2021/10/01,1710,66
나이키 줌X 스트릭플라이 풋볼 그레이 그린 스트라이크,https://kream.co.kr/products/281008,Nike,77,106000,DJ6566-006,-,,,Football Grey/Green Strike,2,170000,2024/05/15,90000,2024/05/06,303,1
(W) 조던 1 로우 메소드 오브 메이크 레전드 라이트 브라운 메탈릭 골드,https://kream.co.kr/products/269016,Jordan,146,179000,FN5032-200,2024/03/20,62,169000,Legend Light Brown/Metallic Gold,2,299000,2024/05/15,135000,2024/05/01,607,5
살로몬 RX 모크 3.0 스웨이드 블랙 마그넷,https://kream.co.kr/products/250386,Salomon,145,104000,L47433600,-,,148000,Black/Magnet/Black,3,155000,2024/03/12,90000,2024/05/14,667,5
(W) 나이키 에어 줌 알파플라이 넥스트% 3 볼트,https://kream.co.kr/products/240727,Nike,265,365000,FD8315-700,2024/02/15,96,329000,Volt/Dusty Cactus/Total Orange/Concord,4,597000,2024/05/10,320000,2024/05/04,320,11
뉴발란스 x JJJ자운드 2002R 고어텍스 파인,https://kream.co.kr/products/237457,New Balance,388,364000,M2002RXY,2024/02/15,96,257300,Pine,1,660000,2024/02/23,240000,2024/03/12,3080,54
푸마 팔레르모 다크 체다 브라이트 아쿠아,https://kream.co.kr/products/237314,Puma,410,91000,396463-13,2024/02/01,110,119000,Dark Cheddar/Bright Aqua/Gold,3,189000,2024/05/01,89000,2024/05/12,2474,11
뉴발란스 860v2 아크틱 그레이,https://kream.co.kr/products/232079,New Balance,383,164000,ML860BB2,2024/02/01,110,159000,Arctic Grey/Silver/Skyblue,3,259000,2024/02/14,120000,2024/04/09,3198,20
아식스 x C.P. 컴퍼니 젤 퀀텀 360 8 시멘트 그레이,https://kream.co.kr/products/231427,Asics,453,408000,1203A507-020,2024/02/22,89,259000,Cement Grey/Cement Grey,2,570000,2024/02/22,299000,2024/02/29,3977,59
아디다스 가젤 나이트 인디고 원더 토프,https://kream.co.kr/products/227963,Adidas,222,130000,IG6201,2023/12/01,172,135400,Night Indigo/Wonder Taupe/Gum,3,169000,2024/05/07,100000,2024/05/09,2477,4
뉴발란스 1906R 실버 메탈릭 클래식 크림슨,https://kream.co.kr/products/218801,New Balance,209,217000,M1906REA,2024/01/12,130,179000,Silver Metallic/Classic Crimson/Sea Salt,3,270000,2024/05/16,126000,2024/02/02,997,9
아식스 x 아트모스 x 언더마이카 젤 카야노 14 페퍼 블랙,https://kream.co.kr/products/202326,Asics,1164,277000,1203A430-200,2023/11/23,180,189000,Pepper/Black,2,448000,2024/01/24,181000,2024/01/10,8592,151
조던 11 레트로 그래티튜드,https://kream.co.kr/products/202068,Jordan,1687,218000,CT8012-170,2023/12/09,164,269000,White/Black/Metallic Gold,3,400000,2024/04/01,160000,2024/02/10,3138,244
살로몬 ACS 프로 메탈 고스트,https://kream.co.kr/products/175664,Salomon,944,231000,L47299100,-,,,Metal/Ghost Gray/Silver Metallic,3,399000,2024/02/12,159000,2023/12/21,4033,18
조던 1 레트로 로우 OG 애트모스피어 그레이,https://kream.co.kr/products/159870,Jordan,1053,106000,CZ0790-101,2023/08/16,279,169000,Sail/Black/Atmosphere Grey,3,349000,2024/05/15,85000,2024/02/26,3099,76
(W) 나이키 샥스 TL 화이트 앤 맥스 오렌지,https://kream.co.kr/products/140050,Nike,964,238000,AR3566-100,2023/07/02,324,209000,White/Metallic Silver/Max Orange/White,4,369000,2023/06/30,103000,2024/02/21,3463,58
뉴발란스 1906R 차콜 그레이,https://kream.co.kr/products/73060,New Balance,1875,136000,M1906RB,2022/08/12,648,179000,Charcoal Grey,1,289000,2023/07/21,95000,2024/05/08,4937,64
나이키 에어 쿠키니 라탄 앤 파티클 그레이,https://kream.co.kr/products/69668,Nike,433,120000,DV0659-201,2022/07/15,676,159000,Rattan/Particle Grey,2,279000,2023/10/19,66000,2023/04/18,3664,26
아디다스 가젤 컬리지에이트 버건디,https://kream.co.kr/products/55325,Adidas,1081,98000,B41645,-,,128600,Collegiate Burgundy/Footwear White/Gold Metallic,3,200000,2023/03/23,49000,2022/12/19,7648,28
나이키 에어포스 1 '07 LV8 로우 트리플 레드,https://kream.co.kr/products/25688,Nike,3357,184000,CW6999-600,2020/02/01,1571,139000,University Red/University Red,2,469000,2023/07/31,115000,2021/04/07,1,423
나이키 x 스투시 에어 줌 스피리돈 케이지 2 파슬,https://kream.co.kr/products/23703,Nike,3510,839000,CQ5486-200,2020/04/03,1509,189000,Fossil/Black/Fossil,3,2235000,2023/03/27,235000,2020/04/23,1,1
로우클래식 T-1 Lc 비브람 스니커즈 실버,https://kream.co.kr/products/276504,LOW CLASSIC,53,230000,LC245-SO01,2024/04/19,32,179000,Silver,1,378000,2024/04/20,199000,2024/05/12,651,4
(W) 나이키 P-6000 메탈릭 서밋 화이트,https://kream.co.kr/products/233034,Nike,592,148000,FV6603-101,2023/01/23,484,162500,Metallic Summit White/White,2,179000,2024/04/12,77000,2024/02/22,1826,14
아디다스 x 풋 인더스트리 가젤 코어 블랙 크림 화이트,https://kream.co.kr/products/209134,Adidas,583,184000,ID3517,2023/12/01,172,149000,Core Black/Cream White/Off White,3,318000,2024/05/14,129000,2024/01/02,5232,35
아식스 x 언어펙티드 젤 카야노 14 갤럭시 화이트,https://kream.co.kr/products/189959,Asics,1320,271000,1201A922-100,2023/10/27,207,229000,Bright White/Jet Black,2,429000,2024/02/03,177000,2023/12/12,6131,121
(W) 나이키 코르테즈 블랙 앤 세일,https://kream.co.kr/products/182839,Nike,604,101000,FB6877-001,2023/10/05,229,139000,Black/Sail/Alabaster,3,178000,2024/04/24,95000,2024/05/12,3479,13
살로몬 XT-윙스 2 루나 락 그레이,https://kream.co.kr/products/174364,Salomon,211,210000,L47287700,-,,,Lunar Rock/Ftw Silver/Gray Flannel,3,480000,2024/03/14,160000,2023/11/27,3040,8
(C) 아디다스 삼바 OG 클라우드 화이트 코어 블랙,https://kream.co.kr/products/173757,Adidas,350,90000,IE3677,-,,73700,White/Core Black/Gum,3,140000,2023/12/10,75000,2024/03/02,1150,18
아디다스 아디매틱 오프 화이트 코어 블랙,https://kream.co.kr/products/168527,Adidas,144,95000,IE2226,2023/09/01,263,139000,Off White/Core Black/Gum,3,259000,2023/12/17,70000,2024/05/02,1895,4
나이키 에어포스 1 로우 레트로 컬러 오브 더 먼스 화이트 포레스트 그린,https://kream.co.kr/products/149322,Nike,992,166000,FD7039-101,2023/07/28,298,179000,White/Forest Green,2,235000,2024/03/08,81000,2024/02/17,5817,18
조던 4 x 나이키 SB 레트로 파인 그린,https://kream.co.kr/products/107587,Jordan,9771,408000,DR5415-103,2023/03/21,427,269000,Sail/White/Pine Green,3,945000,2024/02/01,269000,2023/07/30,8097,804
뉴발란스 1906R 화이트 실버,https://kream.co.kr/products/101020,New Balance,18,349000,M1906RJM,2022/12/15,523,169000,White/Grey/Silver,3,349000,2024/03/29,160000,2023/04/26,1241,1
호카 호파라 쉬프팅 샌드 듄,https://kream.co.kr/products/99414,Hoka,1205,280000,1123112-SSDD,-,,182800,Shifting Sand/Dune,2,485000,2024/05/15,147000,2023/09/06,3984,79
발렌시아가 3XL 스니커즈 라이트 베이지,https://kream.co.kr/products/96851,Balenciaga,1225,1346000,734734W3XL49191,-,,8300,Light Beige,1,2300000,2023/04/10,1000000,2024/04/28,3951,1
오니츠카 타이거 멕시코 66 슬립온 버치 미드나잇,https://kream.co.kr/products/91052,Onitsuka Tiger,349,120000,1183A360-205,-,,110000,Birch/Midnight,2,179000,2023/08/08,98000,2023/10/14,3405,8
나이키 x 트래비스 스캇 에어맥스 1 캑터스 브라운,https://kream.co.kr/products/44512,Nike,6696,420000,DO9392-200,2022/05/27,725,189000,Baroque Brown/Lemon Drop-Wheat-Chile Red,2,850000,2022/05/28,201000,2023/07/26,1,1
조던 1 로우 브레드 토,https://kream.co.kr/products/42353,Jordan,21000,126000,553558-612,2022/02/17,824,129000,White/Black/University Red,3,390000,2022/01/05,97000,2024/03/15,2,746
반스 어센틱 레드,https://kream.co.kr/products/42130,Vans,1926,46000,VN000EE3RED1,-,,59000,Red,1,92000,2023/07/12,32000,2023/06/01,4245,141
아디다스 이지 폼 러너 샌드,https://kream.co.kr/products/31939,Adidas,9621,374000,FY4567,2021/03/26,1152,129000,Sand/Sand/Sand,3,880000,2022/02/28,145000,2022/09/30,1,2
나이키 x 사카이 베이퍼와플 로얄 푸시아,https://kream.co.kr/products/26022,Nike,7563,1240000,CV1363-100,2020/11/06,1292,219000,Sail/Sport Fuchsia/Light Bone/Game Royal,4,2000000,2023/12/29,125000,2022/01/09,9049,1
나이키 P-6000 세일 울프 그레이,https://kream.co.kr/products/24928,Nike,693,109000,CD6404-101,2020/06/24,1427,117000,Sail/Wolf Grey/Metallic Silver/White,4,259000,2022/03/24,69000,2020/11/05,1857,18
아디다스 x 콘 캠퍼스 2 카본 클라우드 화이트,https://kream.co.kr/products/285479,Adidas,15,175000,IF4282,2024/05/15,6,159000,Carbon/Cloud White/Off White,3,370000,2024/05/15,170000,2024/05/18,76,1
나이키 x 드레이크 녹타 핫 스텝 2 화이트,https://kream.co.kr/products/283292,Nike,34,292000,DZ7293-100,2024/05/09,12,239000,White/Chrome/University Gold,3,315000,2024/05/09,239000,2024/05/17,318,4
아식스 GT-2160 화이트 퓨어 실버,https://kream.co.kr/products/272703,Asics,122,156000,1203A544-101,2024/04/03,48,139000,White/Pure Silver,2,166000,2024/05/18,80000,2024/04/29,1360,5
아식스 메타스피드 스카이 파리 선라이즈 레드 블랙,https://kream.co.kr/products/259782,Asics,200,365000,1013A123-600,-,,299000,Sunrise Red/Black,2,400000,2024/04/15,250000,2024/05/10,622,6
(W) 나이키 덩크 로우 밸런타인데이 화이트 어도비,https://kream.co.kr/products/229623,Nike,672,99000,FQ7056-100,2024/01/28,114,149000,White/Adobe/Dragon Red/Team Red,4,195000,2024/01/31,83000,2024/05/09,3301,37
나이키 에어 줌 GT 컷 3 EP 서밋 화이트 피칸테 레드,https://kream.co.kr/products/227010,Nike,768,182000,DV2918-101,-,,229000,Summit White/Picante Red,2,450000,2024/01/13,150000,2024/03/17,1358,21
아식스 젤 카야노 14 어슨웨어 팩 화이트 세이지 그래파이트 그레이,https://kream.co.kr/products/223801,Asics,812,160000,1203A412-020,2024/01/19,123,189000,White Sage/Graphite Grey,2,249000,2024/02/21,120000,2024/02/08,5090,26
뉴발란스 2002R 다크 그레이,https://kream.co.kr/products/212687,New Balance,471,205000,M2002REH,-,,189000,Dark Grey,1,280000,2024/04/09,135000,2024/02/10,5796,29
나이키 ACG 마운틴 플라이 로우 고어텍스 다크 스모크 그레이,https://kream.co.kr/products/196741,Nike,440,133000,HF6245-002,-,,219000,Dark Smoke Grey/Khaki-Light Orewood Brown,2,222000,2023/12/22,114000,2024/05/07,1339,20
나이키 P-6000 프리미엄 한글날 포톤 더스트 카키,https://kream.co.kr/products/186009,Nike,1106,103000,FQ8243-025,2023/10/06,228,129000,Photon Dust/Light Bone/Pale Ivory/Khaki,4,199000,2023/10/11,78000,2024/02/17,2391,58
나이키 리액트X 인피니티 런 4 화이트 라이트 레몬 트위스트,https://kream.co.kr/products/163722,Nike,1114,195000,DR2665-101,-,,216700,White/Light Lemon Twist/Volt/Black,4,283000,2024/04/11,102000,2024/02/23,1679,19
나이키 리액트 팬텀 GX 프로 TF 브라이트 크림슨 블랙,https://kream.co.kr/products/160106,Nike,452,128000,DD9466-600,-,,191800,Bright Crimson/White/University Red/Black,4,209000,2024/02/23,90000,2024/04/14,1084,3
아디다스 이지 폼 러너 스톤 솔트,https://kream.co.kr/products/149997,Adidas,914,203000,GV6840,2023/08/11,284,129000,Stone Salt/Stone Salt/Stone Salt,3,328000,2024/02/24,120000,2023/08/17,2524,97
로아 하이킹 카타리나 블랙,https://kream.co.kr/products/145182,Roa Hiking,566,449000,KFA10-001,-,,564700,Black,1,690000,2024/05/03,350000,2024/04/01,2644,102
뉴발란스 990v4 메이드 인 USA 그레이 실버,https://kream.co.kr/products/129272,New Balance,547,238000,U990GR4,-,,250500,Grey/Silver,2,359000,2024/02/24,175000,2023/11/09,1980,49
아디다스 x 웨일스 보너 삼바 실버 메탈릭,https://kream.co.kr/products/122862,Adidas,933,1165000,IG8181,2023/06/09,347,259000,Silver Metallic/Cloud White /Grey One,3,1500000,2024/02/16,230000,2023/07/28,1,107
나이키 줌X 베이퍼플라이 넥스트% 3 세일 코발트 블리스 토탈 오렌지,https://kream.co.kr/products/120016,Nike,278,270000,DV4129-101,2023/04/01,416,338500,Sail/Cobalt Bliss/Total Orange,3,450000,2024/04/05,200000,2023/11/04,804,16
푸마 스피드캣 OG 스파르코 리본 레드 화이트,https://kream.co.kr/products/117346,Puma,752,150000,307171-05,2024/01/24,118,139000,Ribbon Red/Puma White,2,300000,2024/04/23,90000,2024/04/19,4975,88
(W) 나이키 덩크 로우 레트로 프리미엄 팀 레드 앤 화이트,https://kream.co.kr/products/113867,Nike,4881,91000,FJ4555-100,2023/04/25,392,139000,White/Team Red/Coconut Milk,3,305000,2023/04/10,74000,2024/02/14,1,311
아디다스 캠퍼스 00s 코어 블랙 클라우드 화이트,https://kream.co.kr/products/92335,Adidas,2423,104000,HQ8708,2022/12/23,515,119000,Core Black/Cloud White/Off White,3,199000,2023/06/11,60000,2023/06/29,8429,59
나이키 x 스투시 에어 페니 2 블랙,https://kream.co.kr/products/89215,Nike,3363,252000,DQ5674-001,2022/12/20,518,239000,Black/White/Black,3,400000,2023/08/28,179000,2023/11/05,1,367
나이키 x 드레이크 녹타 에어포스 1 로우 SP 서티파이드 러버 보이 화이트,https://kream.co.kr/products/83075,Nike,4316,219000,CZ8065-100,2022/12/08,530,189000,White/White/White/Cobalt Tint,4,349000,2022/12/04,100000,2023/10/22,1,382
뉴발란스 574 레거시 네이비 블루,https://kream.co.kr/products/79043,New Balance,2960,134000,U574LGRN,2023/08/31,264,149000,Navy Blue,1,345000,2023/02/02,83000,2024/01/26,8310,67
(PS) 조던 x 트래비스 스캇 점프맨 잭 TR 세일 앤 다크 모카,https://kream.co.kr/products/280151,Jordan,102,246000,FJ2851-100,2024/04/30,21,119000,Sail/Dark Mocha/Muslin,3,400000,2024/04/30,176000,2024/05/07,295,10
나이키 V2K 런 블랙 앤트러사이트,https://kream.co.kr/products/266659,Nike,68,113000,HJ4497-001,-,,139000,Black/Anthracite/Dark Smoke Grey,3,159000,2024/05/04,105000,2024/05/14,522,4
오클리 엣지 아이콘 크림 네이비,https://kream.co.kr/products/250743,Oakley,38,224000,FOF100539-372,-,,270800,Cream/Navy,2,399000,2024/03/10,170000,2024/05/03,928,3
푸마 팔레르모 레더 푸마 화이트 베이퍼 그레이,https://kream.co.kr/products/242788,Puma,394,114000,396464-01,-,,203100,Puma White/Vapor Gray/Gum,3,230000,2024/03/02,89000,2024/05/08,1964,1
(W) 아디다스 삼배 아이보리 핑크 퓨전 - 풋락커 한정,https://kream.co.kr/products/241419,Adidas,211,239000,ID1104,2024/01/15,127,139000,Ivory/Ivory/Pink Fusion,3,287000,2024/04/18,100000,2024/02/14,2143,5
뉴발란스 530 블랙,https://kream.co.kr/products/231772,New Balance,363,117000,MR530PB,-,,,Black,1,189000,2024/05/15,105000,2024/04/28,1906,1
(W) 아식스 젤 벤쳐 6 크림,https://kream.co.kr/products/231521,Asics,566,108000,1202A431-101,2024/01/26,116,99000,Cream/Cream,2,167000,2024/04/18,85000,2024/02/09,4484,14
(W) 나이키 줌 보메로 5 페일 아이보리 샌드드리프트,https://kream.co.kr/products/226797,Nike,792,176000,FQ6868-111,-,,189000,Pale Ivory/Pale Ivory/Sand Drift,3,226000,2024/02/23,120000,2024/05/19,1311,29
(W) 나이키 P-6000 코코넛 밀크 메탈릭 실버,https://kream.co.kr/products/218822,Nike,1083,180000,FV6603-100,-,,148900,Oconut Milk/Black/Summit White/Metallic Silver,4,259000,2024/04/21,75000,2024/02/06,2558,35
아디다스 x 웨일스 보너 나일론 삼바 폭스 브라운 샌디 베이지,https://kream.co.kr/products/196243,Adidas,1238,350000,IE0579,2023/11/08,195,229000,Fox Brown/Sandy Beige/Lucky Blue,3,599000,2024/04/02,141000,2023/11/20,1,79
살로몬 x 꼼데가르송 슬립 온 플랫폼 블랙,https://kream.co.kr/products/192188,Salomon,183,700000,L47515400,-,,487500,Black,1,1790000,2024/03/26,327000,2024/01/22,2468,8
아디다스 스테이트 시리즈 오리건 쉐도우 마룬,https://kream.co.kr/products/191408,Adidas,778,170000,ID2081,-,,,Shadow Maroon,1,304000,2024/02/11,110000,2023/11/09,9950,42
조던 1 로우 화이트 바시티 레드,https://kream.co.kr/products/185334,Jordan,569,92000,553558-161,2023/10/04,230,139000,White/Varsity Red/Black,3,159000,2023/12/27,65000,2024/05/09,2373,19
나이키 에어 줌 알파플라이 넥스트% 2 블랙 메탈릭 골드 그레인,https://kream.co.kr/products/184886,Nike,554,415000,DN3555-001,2023/09/29,235,329000,Black/Sail/Metallic Gold Grain,3,440000,2024/03/05,200000,2023/11/13,1468,18
(W) 아디다스 아디폼 스탠 스미스 뮬 원더 토프,https://kream.co.kr/products/128033,Adidas,2034,61000,IE7052,-,,85700,Wonder Taupe/Wonder Taupe/Core Black,3,144000,2023/05/24,48000,2024/05/04,2757,40
나이키 덩크 로우 미카 그린,https://kream.co.kr/products/118609,Nike,1144,72000,DV7212-300,-,,177000,Mica Green/Sail/Photon Dust,3,239000,2023/04/26,50000,2024/05/08,7522,26
아더에러 로그 바우스 오프 화이트,https://kream.co.kr/products/114929,Ader Error,476,354000,-,2023/04/06,411,320000,Off White,1,850000,2023/09/03,296000,2024/05/16,3488,57
아식스 젤 소노마 15-50 오이스터 그레이 클레이 그레이,https://kream.co.kr/products/104600,Asics,3730,160000,1201A785-020,2023/03/03,445,119000,Oyster Grey/Clay Grey,2,230000,2023/09/03,80000,2023/09/21,1,133
살로몬 ACS 프로 블랙,https://kream.co.kr/products/103793,Salomon,1080,240000,L47179800,2023/01/20,487,290000,Black/Black/Black,3,450000,2023/03/20,141000,2024/01/10,4390,52
나이키 x 티파니 앤 코 에어포스 1 로우 SP 1837,https://kream.co.kr/products/98224,Nike,1559,2200000,DZ1382-001,2023/03/07,441,529000,Black/Tiffany Blue,2,3350000,2023/03/07,915000,2023/08/28,9109,380
아디다스 아디폼 슈퍼스타 코어 블랙 클라우드 화이트,https://kream.co.kr/products/92377,Adidas,4207,56000,HQ8752,2022/12/27,511,89000,Core Black/Cloud White/Core Black,3,300000,2023/01/02,25000,2023/06/25,4454,153
나이키 덩크 로우 레트로 SE 잭팟 말라카이트,https://kream.co.kr/products/74799,Nike,14000,169000,DR9654-100,2022/09/01,628,139000,Pale Ivory/Black/Malachite/Pale Ivory,4,466000,2023/01/17,143000,2024/05/13,3,639
나이키 x 슈프림 샥스 라이드 2 SP 화이트,https://kream.co.kr/products/67188,Nike,1800,735000,DN1615-100,2022/06/23,698,254600,White/Grey Fog/Flat Platinum,3,1840000,2024/04/04,389000,2022/07/01,7350,418
나이키 에어포스 1 '07 프레쉬 화이트,https://kream.co.kr/products/66563,Nike,2125,145000,DM0211-100,2022/06/25,696,159000,White/White/White,3,199000,2022/08/11,61000,2024/02/13,5200,102
아디다스 아디매틱 그린,https://kream.co.kr/products/55727,Adidas,4494,75000,GZ6202,2022/03/26,787,129000,Green/Crystal White/Crystal White,3,429000,2023/04/04,69000,2024/04/07,9926,306
(GS) 나이키 코트 버로우 2 포톤 더스트 오프 느와르,https://kream.co.kr/products/55305,Nike,305,80000,BQ5448-005,2019/12/20,1614,162500,Photon Dust/Off Noir,2,108000,2024/05/07,41000,2024/02/08,2558,9
아식스 젤 카야노 14 크림 퓨어 실버,https://kream.co.kr/products/52238,Asics,4125,280000,1201A019-105,2021/12/03,900,169000,Cream/Pure Silver,2,494000,2024/05/08,102000,2023/02/09,10000,341
컨버스 척 70 로우 화이트,https://kream.co.kr/products/41992,Converse,1996,55000,162065C,-,,95000,White,1,95000,2022/06/08,32000,2024/01/27,5926,60
(W) 나이키 에어맥스 퓨리오사 실버 앤 블랙,https://kream.co.kr/products/35434,Nike,857,89000,DC7350-001,2021/06/01,1085,189000,Silver/Black,2,380000,2023/03/17,80000,2024/05/16,1883,50
컨버스 척 70 로우 미드나잇 클로버,https://kream.co.kr/products/30256,Converse,2013,79000,168513C,2020/06/05,1446,89000,Midnight Clover/Egret/Black,3,290000,2023/04/28,44000,2024/03/23,8268,51
아디다스 발리 택타일 스틸 다크 마린,https://kream.co.kr/products/250672,Adidas,105,163000,IG6195,2024/03/11,71,149000,Tactile Steel/Dark Marine/Chalk Blue,3,249000,2024/03/10,145000,2024/05/17,906,9
나이키 x 자크뮈스 J 포스 1 로우 LX SP 어스,https://kream.co.kr/products/247752,Nike,221,185000,DR0424-200,2024/03/05,77,199000,Earth/Metallic Gold/Blue Lightning/Tour Yellow,4,350000,2024/03/04,140000,2024/04/26,1451,41
오니츠카 타이거 멕시코 66 화이트 실버,https://kream.co.kr/products/238417,Onitsuka Tiger,230,170000,1183C234-101,-,,160000,White/Silver,2,250000,2024/05/11,152000,2024/03/20,993,2
나이키 자 1 EP 화이트 블랙,https://kream.co.kr/products/224404,Nike,150,108000,DR8786-101,-,,129000,White/Black/White,3,180000,2024/01/07,80000,2024/04/24,616,1
아디다스 가젤 원더 토프 나이트 인디고,https://kream.co.kr/products/213861,Adidas,975,103000,IG6199,-,,135400,Wonder Taupe/Night Indigo/Gum,3,175000,2024/02/28,99000,2024/05/04,5796,21
뉴발란스 1906R 블랙 핑크 문,https://kream.co.kr/products/190192,New Balance,258,210000,M1906RHC,2023/10/17,217,189000,Black/Pink Moon/Magnet,3,307000,2024/02/13,110000,2024/01/16,3271,7
뉴발란스 991v2 메이드 인 UK 락 릿지 알로이 실버,https://kream.co.kr/products/187659,New Balance,871,336000,U991GL2,2023/10/12,222,309000,Rock Ridge/Alloy Silver,2,520000,2023/11/28,264000,2024/01/29,2364,85
(W) 아디다스 가젤 볼드 와일드 핑크 클라우드 화이트,https://kream.co.kr/products/186127,Adidas,664,180000,ID6997,2023/10/01,233,162500,Wild Pink/Cloud White/Clear Pink,3,259000,2024/04/12,80000,2023/12/14,3411,12
아식스 x 세실리에 반센 GT-2160 화이트,https://kream.co.kr/products/141528,Asics,940,900000,1203A321-100,2023/07/19,307,259000,White,1,1500000,2024/04/08,260000,2023/10/06,1,143
나이키 에어 줌 페가수스 40 블랙 아이언 그레이,https://kream.co.kr/products/126545,Nike,791,92000,DV3853-001,2023/04/01,416,149000,Black/Iron Grey/White,3,179000,2024/02/27,79000,2023/12/14,920,1
아디다스 삼바 OG 크리스탈 화이트 클레이 스트라타,https://kream.co.kr/products/120286,Adidas,1536,178000,ID2047,2023/05/01,386,177000,Crystal White/Clay Strata/Gum5,3,268000,2024/03/04,110000,2023/08/29,8459,35
나이키 줌 플라이 5 블랙 화이트,https://kream.co.kr/products/111523,Nike,227,132000,DM8968-001,2022/07/18,673,189000,Black/White,2,189000,2023/11/11,117000,2024/05/19,746,2
메종 미하라 야스히로 블레이키 VL OG 솔 캔버스 로우탑 스니커즈 블랙,https://kream.co.kr/products/67229,Mihara Yasuhiro,1910,350000,A09FW732-BLACK,2022/06/25,696,306300,Black,1,690000,2022/10/24,276000,2023/09/06,3950,276
나이키 덩크 로우 레트로 서밋 화이트,https://kream.co.kr/products/65804,Nike,5095,104000,DJ6188-101,2022/06/16,705,129000,White/Black/Summit White,3,390000,2023/05/29,70000,2024/02/14,1,126
나이키 x 카시나 에어맥스 1 SP 원앙 파티클 그레이,https://kream.co.kr/products/62447,Nike,11000,80000,DQ8475-001,2022/06/08,713,199000,Particle Grey/Dark Teal Green,2,679000,2022/06/01,60000,2023/12/02,1,899
조던 1 레트로 하이 OG 블리치드 코랄,https://kream.co.kr/products/60302,Jordan,20000,220000,555088-108,2022/05/14,738,209000,White/Black/Grey Fog/Bleached Coral,4,549000,2023/02/13,153000,2023/10/10,3,1
