상품명,거래량,최근거래가,발매일,발매일로부터현재까지일,발매가,색상개수,최고거래가,최고거래성사일,최저거래가,최저거래성사일,관심,스타일,가격변동성,수익률,콜라보,브랜드_Adidas,브랜드_Asics,브랜드_Converse,브랜드_Jordan,브랜드_Mihara Yasuhiro,브랜드_New Balance,브랜드_Nike,브랜드_Puma,브랜드_Salomon,브랜드_Vans
나이키 에어포스 1 로우 레트로 컬러 오브 더 먼스 화이트 핑크,4.099095256,3.426142609,2022-10-06,21.97417473,3.975661722,3,2.875728332,2023-03-01,3.720836711,2024-02-19,16.59011164,3.213862051,989.7539563,23.00554768,0,0,0,0,0,0,0,1,0,0,0
나이키 에어포스 1 '07 LV8 한글날,3.745908117,3.429564243,2022-09-22,22.16751533,3.959586,3,2.86965745,2022-10-24,3.698578765,2023-07-27,13.25006851,2.352563982,954.1763076,16.36925312,0,0,0,0,0,0,0,1,0,0,0
나이키 에어포스 1 '07 핑크 탄,3.47660678,3.447100936,2022-09-24,22.14007894,3.973521245,2,2.878911244,2022-12-14,3.746307941,2023-07-02,13.22617305,2.293748371,871.1826457,36.7159799,0,0,0,0,0,0,0,1,0,0,0
나이키 덩크 로우 레트로 다크 비트룻,3.629068072,3.434828339,2022-09-30,22.05740443,3.955054933,3,2.876227261,2024-03-01,3.720836711,2024-04-27,10.90930452,1.656452944,1009.753028,42.02186945,0,0,0,0,0,0,0,1,0,0,0
(GS) 나이키 덩크 하이 풋볼 그레이,3.52420608,3.421375976,2022-09-17,22.23584304,3.955054933,3,2.864764482,2022-11-16,3.706008016,2024-01-12,13.25006851,1.898699836,681.8304585,5.478217814,0,0,0,0,0,0,0,1,0,0,0
나이키 카이리 로우 5 EP 라이트 매더 루트,2.997696413,3.444021721,2022-05-27,23.68951795,3.955054933,2,2.867003917,2024-03-14,3.732135525,2023-03-22,7.717006971,0.672240797,441.1969115,12.126696,0,0,0,0,0,0,0,1,0,0,0
(W) 나이키 데이브레이크 시나바,3.47660678,3.415218923,2022-07-15,23.07922939,3.950066949,3,2.863476641,2023-04-28,3.698578765,2024-02-14,10.11780026,1.656452944,712.4297909,5.833665302,0,0,0,0,0,0,0,1,0,0,0
나이키 x 슈프림 SB 줌 블레이저 미드 QS 2 인더스트리얼 블루,3.481589219,3.457097576,2022-09-08,22.35789889,3.967945961,2,2.874803243,2023-12-21,3.743302908,2022-12-22,10.84620736,3.127205683,693.8122191,26.09079685,1,0,0,0,0,0,0,1,0,0,0
나이키 x 슈프림 SB 줌 블레이저 미드 QS 2 블랙,3.266359632,3.445911338,2022-09-08,22.35789889,3.967945961,2,2.874854097,2022-09-23,3.746307941,2024-02-11,10.95446688,3.420762214,654.5842633,26.26312896,1,0,0,0,0,0,0,1,0,0,0
나이키 에어 모어 업템포 96 블랙 액션 그레이프,3.74312159,3.446113327,2022-07-17,23.05370043,3.989844606,4,2.876271394,2023-11-05,3.7359751,2024-03-25,10.67396882,2.703019661,860.2993512,12.98104625,0,0,0,0,0,0,0,1,0,0,0
